Employee Name,Date,In-Time,Out-Time
John Doe,2025-01-01,10:00,18:30
John Doe,2025-01-02,10:00,18:30
John Doe,2025-01-03,10:00,18:30
John Doe,2025-01-04,10:00,14:00
John Doe,2025-01-05,,
John Doe,2025-01-06,10:00,18:30
John Doe,2025-01-07,10:00,18:30
John Doe,2025-01-08,10:00,18:30
John Doe,2025-01-09,10:00,18:30
John Doe,2025-01-10,10:00,18:30
John Doe,2025-01-11,10:00,14:00
John Doe,2025-01-12,,
John Doe,2025-01-13,10:00,18:30
John Doe,2025-01-14,10:00,18:30
John Doe,2025-01-15,,
John Doe,2025-01-16,10:00,18:30
John Doe,2025-01-17,10:00,18:30
John Doe,2025-01-18,10:00,14:00
John Doe,2025-01-19,,
John Doe,2025-01-20,10:00,18:30
John Doe,2025-01-21,10:00,18:30
John Doe,2025-01-22,10:00,18:30
John Doe,2025-01-23,10:00,18:30
John Doe,2025-01-24,10:00,18:30
John Doe,2025-01-25,10:00,14:00
John Doe,2025-01-26,,
John Doe,2025-01-27,10:00,18:30
John Doe,2025-01-28,,
John Doe,2025-01-29,10:00,18:30
John Doe,2025-01-30,10:00,18:30
John Doe,2025-01-31,10:00,18:30
John Doe,2025-02-01,10:00,14:00
John Doe,2025-02-02,,
John Doe,2025-02-03,10:00,18:30
John Doe,2025-02-04,10:00,18:30
John Doe,2025-02-05,10:00,18:30
John Doe,2025-02-06,10:00,18:30
John Doe,2025-02-07,10:00,18:30
John Doe,2025-02-08,10:00,14:00
John Doe,2025-02-09,,
John Doe,2025-02-10,,
John Doe,2025-02-11,10:00,18:30
John Doe,2025-02-12,10:00,18:30
John Doe,2025-02-13,10:00,18:30
John Doe,2025-02-14,10:00,18:30
John Doe,2025-02-15,10:00,14:00
John Doe,2025-02-16,,
John Doe,2025-02-17,10:00,18:30
John Doe,2025-02-18,10:00,18:30
John Doe,2025-02-19,10:00,18:30
John Doe,2025-02-20,10:00,18:30
John Doe,2025-02-21,10:00,18:30
John Doe,2025-02-22,10:00,14:00
John Doe,2025-02-23,,
John Doe,2025-02-24,,
John Doe,2025-02-25,10:00,18:30
John Doe,2025-02-26,10:00,18:30
John Doe,2025-02-27,10:00,18:30
John Doe,2025-02-28,10:00,18:30
